Month-Year,Imp_Dwell_Overall,Imp_Dwell_Truck,Imp_Dwell_Train,Parking_Dwell,Imp_Transit_CFS,Imp_Transit_ICD,Exp_Dwell_Overall,Exp_Dwell_Truck,Exp_Dwell_Train,Exp_Transit_CFS,Exp_Transit_ICD,Total_TEUs_Handled,Date
Jan 23,21.9,18.2,86.3,1.88,2.86,83.2,70.9,70.5,73.4,4.45,107.6,522592,2023-01-01
Feb 23,27.8,24.0,69.6,2.55,2.78,79.0,69.5,67.8,80.7,5.06,109.2,467614,2023-02-01
Mar 23,26.5,22.3,63.7,3.65,2.47,97.1,74.0,72.4,86.1,6.42,113.0,560076,2023-03-01
Apr 23,29.9,25.4,53.2,4.0,2.62,90.1,80.0,77.1,104.6,6.46,89.3,503668,2023-04-01
May 23,19.9,17.2,51.0,2.33,2.56,91.1,65.0,62.8,81.3,4.21,109.6,538247,2023-05-01
Jun 23,15.8,13.8,38.4,2.18,2.35,107.0,71.9,69.8,88.5,4.18,112.2,523948,2023-06-01
Jul 23,20.3,17.5,52.3,2.0,2.46,111.0,71.8,70.2,85.0,4.57,105.3,540883,2023-07-01
Aug 23,19.8,17.5,44.1,1.62,2.54,111.1,70.6,69.3,80.4,4.22,103.2,551324,2023-08-01
Sep 23,17.1,14.7,44.2,1.7,2.46,101.9,71.9,70.4,82.3,3.78,106.1,526944,2023-09-01
Oct 23,22.4,19.1,55.0,2.03,2.61,84.1,65.1,64.1,73.7,4.43,118.6,553534,2023-10-01
Nov 23,18.2,15.4,53.1,1.22,2.4,105.5,69.3,69.0,71.0,3.51,105.7,519944,2023-11-01
Dec 23,18.4,15.5,62.2,0.97,2.18,103.1,70.4,68.7,82.6,4.5,111.2,573286,2023-12-01
Jan 24,18.6,15.7,43.6,0.57,2.17,110.3,68.1,66.3,79.6,3.17,95.15,524052,2024-01-01
Feb 24,23.3,20.1,51.5,1.0,2.35,104.6,70.5,68.5,86.7,4.05,79.1,564563,2024-02-01
Mar 24,17.2,15.8,33.2,1.1,2.4,111.2,74.6,73.0,88.5,4.1,67.3,594793,2024-03-01
Apr 24,19.1,17.8,31.9,0.7,2.9,108.4,73.6,71.0,96.3,3.4,77.3,551960,2024-04-01
May 24,24.1,21.2,48.1,1.1,2.6,111.5,71.7,69.3,91.4,4.3,87.3,568793,2024-05-01
Jun 24,26.3,22.5,75.2,0.9,2.5,110.8,80.9,78.8,95.1,5.0,95.2,567392,2024-06-01
Jul 24,26.7,24.1,45.1,1.2,2.6,112.4,79.9,76.0,120.1,4.7,95.2,603219,2024-07-01
Aug 24,33.5,31.1,53.0,2.8,2.7,108.0,79.7,76.6,112.9,4.6,92.0,639336,2024-08-01
Sep 24,38.6,35.7,58.4,0.6,3.2,113.2,73.7,71.0,95.4,3.5,86.6,596790,2024-09-01
Oct 24,20.3,17.7,53.1,1.1,2.8,113.6,77.1,75.4,92.0,4.6,77.4,614651,2024-10-01
Nov 24,20.8,17.7,61.6,1.2,2.5,113.0,77.9,76.5,89.2,3.9,84.6,596844,2024-11-01
Dec 24,19.0,15.9,92.3,1.85,2.4,103.3,74.0,73.5,79.0,4.4,96.4,638446,2024-12-01
Jan 25,22.05,18.9,100.6,2.5,2.4,110.0,77.2,76.0,86.3,5.0,93.7,586938,2025-01-01
Feb 25,25.1,21.5,70.3,1.6,2.5,103.9,72.8,71.6,92.3,6.5,93.8,632310,2025-02-01
Mar 25,28.3,24.6,76.2,2.2,2.5,97.3,74.4,73.1,89.4,4.8,89.8,666168,2025-03-01
Apr 25,24.2,20.9,59.6,1.1,2.5,94.6,73.3,70.9,91.5,4.8,92.2,618195,2025-04-01
May 25,28.1,26.0,45.4,2.0,2.4,105.8,74.4,72.4,91.8,4.7,94.2,637048,2025-05-01
Jun 25,27.5,22.4,99.8,1.4,2.4,117.0,75.0,73.7,87.8,4.1,95.5,635479,2025-06-01
Jul 25,22.0,18.7,63.4,1.9,2.4,112.3,78.1,76.5,91.4,4.8,89.1,675605,2025-07-01
Aug 25,26.8,23.7,52.6,2.4,2.6,110.7,78.0,76.3,94.2,5.2,84.2,716056,2025-08-01
Sep 25,43.2,37.1,83.6,2.1,2.8,105.0,71.5,69.7,85.5,4.2,92.0,668404,2025-09-01
Oct 25,25.3,23.2,45.6,2.1,2.7,111.0,70.1,68.4,84.0,4.3,91.1,688409,2025-10-01
Nov 25,28.3,24.9,77.3,2.1,2.9,114.1,68.8,67.0,86.4,4.1,81.7,668465,2025-11-01
